index,episode_reward,episode_power,episode_load
10,19.176177050871566,7.659373649103928,1.5363902227960131
20,19.13620473172054,7.648772561065146,1.5436655961259838
30,19.37406389493077,7.725424357567649,1.5268747219227736
40,19.229318764910506,7.6827622760782335,1.544871935027944
50,19.281446540019168,7.696810119758084,1.53581968713909
60,19.26157200807637,7.691154847487404,1.5386864058453757
70,18.985780807138607,7.598887331621475,1.5515302545761636
80,19.302743643860996,7.7020466663687515,1.5311393445487722
90,19.678938062175128,7.8092720075157995,1.4772277461567072
100,19.23193587226082,7.684326455447082,1.5460949977125091
110,19.13451797089134,7.6441942224929065,1.5359042611825209
120,19.301205335357437,7.6950591330367555,1.518568634462207
130,19.297729406343834,7.703002048471245,1.5365152914797182
140,19.130791820236606,7.653766459521641,1.5572083420875773
150,19.343697044949028,7.718385690383002,1.5343841200649821
160,19.249845905835322,7.677647633057238,1.52051339923019
170,19.440612775195774,7.742470266367245,1.513583296361483
180,19.571185540387894,7.784438334866944,1.5041512445154717
190,19.391885999109643,7.73001281508671,1.5233610800894772
200,19.043690993947724,7.613243055358195,1.5390316467330685
210,19.17238950023404,7.658032736560763,1.5364225384314123
220,19.43995802779194,7.740430392604127,1.5100574911005735
230,19.16209258995395,7.651391741335064,1.5306596818272817
240,19.225873183469737,7.681381914993739,1.5445878242933302
250,19.34796271585167,7.71807491788891,1.5307911729056074
260,19.058094187783148,7.618029979824104,1.5382988728957465
270,19.255436362405778,7.676011736867562,1.5134049698854146
280,18.97738082474428,7.596694869723722,1.5531280901081481
290,19.442732911840622,7.742532630921707,1.5122210064805242
300,19.158539913376302,7.656559364360547,1.543239569153282
310,19.486117254227914,7.759253103381563,1.5145091395825776
320,19.387229840320888,7.739592765680349,1.545331232244811
330,19.196536928465395,7.663452467474937,1.5301047506112107
340,19.687480379407912,7.828779794116267,1.5093492697977937
350,19.346663298558102,7.709226137952359,1.5144179916975324
360,18.875461992025528,7.564579181226262,1.5617453189146693
370,19.176821684733593,7.662578489801066,1.5421984335791934
